mood,n1,d1,n2,d2,n3,d3,n4,d4,n5,d5,n6,d6,n7,d7,n8,d8,n9,d9,n10,d10,n11,d11,n12,d12,n13,d13,n14,d14,n15,d15,n16,d16
sad,67,0.5,59,0.5,62,0.5,59,0.5,67,0.5,59,0.5,62,0.5,59,0.5,62,0.5,61,0.5,57,0.5,52,0.5,52,0.5,54,0.5,57,0.5,55,0.5
sad,66,0.5,57,0.5,62,0.5,57,0.5,66,0.5,57,0.5,62,0.5,57,0.5,66,0.5,57,0.5,62,0.5,57,0.5,55,0.5,58,0.5,62,0.5,64,0.5
sad,66,0.5,57,0.5,62,0.5,57,0.5,66,0.5,57,0.5,62,0.5,57,0.5,66,0.5,57,0.5,62,0.5,57,0.5,55,0.5,58,0.5,62,0.5,64,0.5
sad,66,0.5,57,0.5,62,0.5,57,0.5,66,0.5,57,0.5,62,0.5,57,0.5,66,0.5,57,0.5,62,0.5,57,0.5,66,0.5,57,0.5,62,0.5,57,0.5
sad,66,0.5,55,0.5,62,0.5,55,0.5,66,0.5,55,0.5,62,0.5,55,0.5,66,0.5,55,0.5,62,0.5,55,0.5,66,0.5,55,0.5,62,0.5,55,0.5
sad,59,0.5,57,0.5,57,0.5,55,0.5,55,0.5,54,0.5,57,0.5,54,0.5,57,0.5,52,0.5,55,0.5,52,0.5,52,0.5,54,0.5,55,0.5,57,0.5
sad,55,0.5,50,0.5,59,0.5,57,0.5,57,0.5,55,0.5,55,0.5,54,0.5,57,0.5,54,0.5,57,0.5,52,0.5,55,0.5,52,0.5,52,0.5,52,0.5
sad,62,0.5,52,0.5,61,0.5,52,0.5,59,0.5,57,0.5,57,0.5,55,0.5,55,0.5,54,0.5,57,0.5,54,0.5,57,0.5,52,0.5,55,0.5,52,0.5
sad,52,0.5,54,0.5,55,0.5,57,0.5,55,0.5,50,0.5,66,0.5,57,0.5,62,0.5,57,0.5,66,0.5,57,0.5,62,0.5,57,0.5,66,0.5,57,0.5
sad,62,0.5,57,0.5,55,0.5,58,0.5,62,0.5,64,0.5,66,0.5,57,0.5,62,0.5,57,0.5,66,0.5,57,0.5,62,0.5,57,0.5,66,0.5,57,0.5
sad,62,0.5,57,0.5,55,0.5,58,0.5,62,0.5,64,0.5,66,0.5,57,0.5,62,0.5,57,0.5,66,0.5,57,0.5,62,0.5,57,0.5,66,0.5,57,0.5
sad,62,0.5,57,0.5,66,0.5,57,0.5,62,0.5,57,0.5,66,0.5,55,0.5,62,0.5,55,0.5,66,0.5,55,0.5,62,0.5,55,0.5,66,0.5,55,0.5
sad,62,0.5,55,0.5,66,0.5,55,0.5,62,0.5,55,0.5,59,0.5,57,0.5,57,0.5,55,0.5,55,0.5,54,0.5,57,0.5,54,0.5,57,0.5,52,0.5
sad,55,0.5,52,0.5,52,0.5,54,0.5,55,0.5,57,0.5,55,0.5,50,0.5,59,0.5,57,0.5,57,0.5,55,0.5,55,0.5,54,0.5,57,0.5,54,0.5
sad,57,0.5,52,0.5,55,0.5,52,0.5,52,0.5,52,0.5,62,0.5,52,0.5,61,0.5,52,0.5,59,0.5,57,0.5,57,0.5,55,0.5,55,0.5,54,0.5
sad,57,0.5,54,0.5,57,0.5,52,0.5,55,0.5,52,0.5,52,0.5,54,0.5,55,0.5,57,0.5,55,0.5,50,0.5,66,0.5,57,0.5,62,0.5,57,0.5
sad,43,0.5,50,0.5,55,0.5,50,0.5,55,0.5,59,0.5,55,0.5,62,0.5,59,0.5,55,0.5,59,0.5,62,0.5,55,0.5,47,0.5,54,0.5,63,0.5
sad,59,0.5,54,0.5,63,0.5,64,0.5,54,0.5,59,0.5,63,0.5,63,0.5,59,0.5,48,0.5,55,0.5,64,0.5,55,0.5,48,0.5,64,0.5,55,0.5
sad,65,0.5,55,0.5,64,0.5,55,0.5,64,0.5,60,0.5,55,0.5,63,0.5,60,0.5,55,0.5,63,0.5,60,0.5,48,0.5,55,0.5,60,0.5,55,0.5
sad,78,0.5,83,0.5,85,0.5,80,0.5,76,0.5,82,0.5,83,0.5,79,0.5,74,0.5,79,0.5,74,0.5,76,0.5,79,0.5,84,0.5,83,0.5,82,0.5
sad,78,0.5,80,0.5,82,0.5,83,0.5,85,0.5,83,0.5,82,0.5,81,0.5,78,0.5,81,0.5,79,0.5,78,0.5,73,0.5,76,0.5,75,0.5,74,0.5
sad,52,0.5,57,0.5,61,0.5,52,0.5,57,0.5,61,0.5,45,0.5,52,0.5,57,0.5,61,0.5,52,0.5,57,0.5,61,0.5,64,0.5,45,0.5,52,0.5
sad,57,0.5,61,0.5,42,0.5,45,0.5,50,0.5,57,0.5,50,0.5,57,0.5,61,0.5,64,0.5,42,0.5,45,0.5,50,0.5,57,0.5,50,0.5,57,0.5
sad,61,0.5,64,0.5,42,0.5,45,0.5,50,0.5,57,0.5,42,0.5,45,0.5,50,0.5,57,0.5,61,0.5,47,0.5,59,0.5,47,0.5,59,0.5,47,0.5
sad,59,0.5,49,0.5,61,0.5,49,0.5,61,0.5,50,0.5,62,0.5,50,0.5,62,0.5,52,0.5,64,0.5,52,0.5,64,0.5,52,0.5,64,0.5,66,0.5
sad,54,0.5,66,0.5,54,0.5,66,0.5,54,0.5,66,0.5,54,0.5,56,0.5,68,0.5,56,0.5,68,0.5,56,0.5,68,0.5,57,0.5,69,0.5,57,0.5
sad,69,0.5,57,0.5,69,0.5,57,0.5,69,0.5,57,0.5,69,0.5,57,0.5,69,0.5,57,0.5,69,0.5,56,0.5,68,0.5,56,0.5,68,0.5,56,0.5
sad,68,0.5,56,0.5,68,0.5,56,0.5,68,0.5,56,0.5,68,0.5,56,0.5,68,0.5,56,0.5,68,0.5,56,0.5,68,0.5,56,0.5,68,0.5,56,0.5
sad,68,0.5,56,0.5,68,0.5,57,0.5,69,0.5,59,0.5,71,0.5,59,0.5,71,0.5,57,0.5,69,0.5,57,0.5,69,0.5,57,0.5,69,0.5,57,0.5
sad,69,0.5,57,0.5,69,0.5,57,0.5,69,0.5,57,0.5,69,0.5,57,0.5,69,0.5,59,0.5,71,0.5,59,0.5,71,0.5,61,0.5,73,0.5,61,0.5
sad,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,64,0.5,76,0.5,64,0.5,76,0.5,64,0.5,76,0.5,64,0.5
sad,76,0.5,64,0.5,76,0.5,64,0.5,76,0.5,64,0.5,76,0.5,62,0.5,74,0.5,62,0.5,74,0.5,62,0.5,74,0.5,62,0.5,74,0.5,61,0.5
sad,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5
sad,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5
sad,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5
sad,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5
sad,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5
sad,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5
sad,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,61,0.5
sad,73,0.5,61,0.5,73,0.5,61,0.5,73,0.5,64,0.5,76,0.5,64,0.5,76,0.5,64,0.5,76,0.5,64,0.5,76,0.5,64,0.5,76,0.5,64,0.5
sad,76,0.5,64,0.5,76,0.5,64,0.5,76,0.5,64,0.5,76,0.5,62,0.5,74,0.5,62,0.5,74,0.5,62,0.5,74,0.5,62,0.5,74,0.5,62,0.5
sad,74,0.5,62,0.5,74,0.5,62,0.5,74,0.5,61,0.5,73,0.5,57,0.5,69,0.5,57,0.5,69,0.5,57,0.5,69,0.5,57,0.5,69,0.5,57,0.5
